montecarlo,3649c8ee6eba0c,"はるki (42,700) 53.0","湘南曲がり豆 (26,300) 6.0","NoName (19,000) -21.0","いいちこ3号 (12,000) -38.0"
montecarlo,3649cd6d47bb1a,"NoName (36,300) 47.0","su-11 (34,400) 14.0","菊門番長 (33,000) -7.0","大将黄猿 (-3,700) -54.0"
montecarlo,3649da1522e6b4,"ぼえ (48,700) 59.0","ずるずる (18,500) -1.0","ライオネルリチ夫 (16,400) -24.0","NoName (16,400) -34.0"
montecarlo,3649dd2573d976,"liuch031 (30,300) 39.0","ぐんたま社長 (25,500) 6.0","NoName (23,700) -16.0","ecu (20,500) -29.0"
montecarlo,3649df229a913e,"ゴン太。 (35,300) 45.0","mikue (25,800) 6.0","NoName (24,200) -16.0","や」や (14,700) -35.0"
montecarlo,3649e3e0a0b1aa,"チョタアチ (39,200) 49.0","Yamachan (23,000) 3.0","NoName (19,300) -21.0","輪転樹海図 (18,500) -31.0"
montecarlo,3649e7c8005a0c,"sunny (35,600) 45.0","ゴン太。 (30,300) 10.0","正ちゃん (18,600) -21.0","NoName (15,500) -34.0"
shantenMCS,3649ea3bded4b0,"リザヴィー (37,200) 46.0","かわうそクン (32,500) 13.0","モトキチ (17,500) -22.0","NoName (12,800) -37.0"
montecarlo,3649ed4446a17a,"LLSS (32,000) 41.0","Mys (28,700) 9.0","NoName (19,700) -20.0","長野県産こたつ (19,600) -30.0"
shantenMCS,3649ef9fc547f2,"ゼンツへの挑戦 (40,300) 50.0","rpd327 (31,800) 12.0","NoName (17,300) -23.0","3ク３テール (10,600) -39.0"
montecarlo,3649f4e1a3b672,"山下凉月 (34,600) 44.0","キース緑オリオン (29,400) 9.0","sukunaan (18,500) -21.0","NoName (17,500) -32.0"
shantenMCS,3649f9b963792c,"misodon (36,200) 45.0","sein1999 (30,700) 11.0","Momo0303 (22,500) -17.0","NoName (10,600) -39.0"
montecarlo,3649fb64f5b33a,"tanoxi (33,300) 43.0","らんたん★ (29,900) 10.0","折腰 (20,000) -20.0","NoName (16,800) -33.0"
montecarlo,3649fd7ff210d2,"はなのき (43,700) 54.0","horikiri (31,100) 11.0","fuji4ma (13,400) -27.0","NoName (11,800) -38.0"
shantenMCS,364a005258fe80,"夏への扉 (38,300) 48.0","NoName (24,100) 4.0","tatuhina (18,800) -21.0","hiro333 (18,800) -31.0"
montecarlo,364a02758068d8,"蓮上恵 (43,200) 53.0","potadora (25,000) 5.0","Kou1961 (18,800) -21.0","NoName (13,000) -37.0"
montecarlo,364a0427ff6cc4,"ERIC (34,700) 45.0","NoName (28,100) 8.0","Chiguri (20,800) -19.0","ふぁらお５５５５ (16,400) -34.0"
montecarlo,364a08d177d882,"ままままま (45,100) 55.0","NoName (22,400) 2.0","浮草 (18,500) -21.0","apache (14,000) -36.0"
